,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,,,,,,,,,,,,,,,,,,,
2,o,,,,,,,,,,,,,,,,,,,
3,o,o,o,o,ob1,o,o,o,ob1,o,o,o,o,o,ob1,o,o,o,o,
4,,,,,,,,,,,,,,,,,,,ob2,
5,,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
6,,,ob2,,,,,,,,,,,,,,,,,
7,,,o,o,o,o,ob1,o,o,o,ob1,o,o,o,o,o,ob1,o,o,
8,,,,,,,,,,,,,,,,,,,ob2,
9,h,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
10,h,,ob2,,,,,,,,,,,,,,,,,
11,ob2,ob2,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
12,h,,,,,,,,,,,,,,,,,,ob2,
13,h,,o,ob1,o,o,o,o,ob1,o,o,o,o,ob1,o,o,o,o,o,
14,,,ob2,,,,,,,,,,,,,,,,,
15,,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
16,,,,,,,,,,,,,,,,,,,ob2,
17,,,o,o,o,ob1,o,o,o,o,ob1,o,o,o,ob1,o,o,o,o,
18,,,ob2,,,,,,,,,,,,,,,,,
19,,,o,o,o,o,o,o,o,o,o,o,o,o,o,ob1,ob2,ob1,w,
20,,,,,,,,,,,,,,,,,,,,
