,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,o,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
2,,o,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
3,,o,,,,,,,,,,,,,,,,,,
4,ob1,o,o,o,o,o,o,ob1,o,o,o,o,o,o,o,o,o,o,o,
5,o,,,,,,,,,,,,,,,,,,ob1,
6,o,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
7,o,o,o,,,,,,,,,,,,,,,, ,
8,,,o,,,,,,,,,,,,,,,, ,
9,ob1,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
10,o,, ,,,,,,,,,,,,,,,,ob1,
11,o,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
12,o,,o,,,,,,,,,,,,,,,, ,
13,ob1,o,o,,,,,,,,,,,,,,,, ,
14,ob1,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
15,ob1,, ,,,,,,,,,,,,,,,,ob1,
16,ob1, ,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
17,ob1,,o,o,o,oo,o,o,o,o,o,o,o,,,o,,,o,
18,ob1, , ,,,,,,,,,,,ob1,ob1,ob1,,,o,
19,ob1,,ob1,ob1,ob1,ob1,ob1,ob1,ob1,ob1,ob1,ob1,ob1,ob1,,o,,,o,
20,w,ob1,ob1, , , , , , , , , , , , ,o,o,o,o,
