,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,,,,,,,,,,,,o,o,we,o,o,we,,w
2,we,o,o,ma,o,o,o,,,,,,o,,,,,o,,o
3,o,,,o,,,o,,,,,,o,,o,ma,o,o,,o
4,o,,,o,o,,o,,,we,o,o,o,,o,,,,,ma
5,o,,,,o,,o,,,o,,,,,ma,,o,we,o,o
6,ma,o,o,,o,,o,,,o,,o,ma,o,o,,o,,,
7,,,o,,o,,o,ma,o,o,,o,,,,,we,,,
8,,,o,,o,,,,,,,o,,ma,o,o,o,o,o,we
9,o,o,o,,o,ma,o,we,o,ma,o,o,,o,,,,,,
10,we,,,,,,,,,,,,,o,o,ma,o,o,o,
11,o,,,,,,,,,,,,,,,,,,o,
12,o,o,o,,o,o,ma,o,we,o,ma,o,we,o,ma,o,o,o,o,
13,,,o,,we,,,,,,,,,,,,,o,,
14,,,o,,o,,,,,,,,,,,,,o,o,o
15,o,o,o,,we,,,o,we,o,o,,ma,o,o,o,,,,
16,ma,,,,o,o,o,o,,,o,o,o,,,o,ma,o,o,we
17,o,,,,,,,,,,,,,,,,,,,o
18,o,o,o,,,o,we,o,,,o,ma,o,,,o,o,o,,o
19,,,o,,,o,,o,,,o,,o,,,o,,o,,o
20,,,o,ma,o,o,,o,o,o,o,,o,o,o,o,,we,o,o
