,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,,,,,,,,,,,,,,,,,,,
2,ob1,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
3,ob2,,,,,,,,,,,,,,,,,,ob1,
4,ob1,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o, ,o,o,
5,,,,,,,,,,,,,,,,,,o,ob1,
6,,,,,,,,,,,,,,,,,ob1, ,o,
7,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,ob1,
8,,o,,,,,,,,,,,,,,,,,o,
9,,o,o,ob2,o,ob2,o,ob2,o,ob2,w,o,,,,,,,ob1,
10,,,ob1,,,,,,,,,ob1, ,o,o,o,o,o,o,
11,,o,o,o,o,o,o,o,o,o,o,,,,,,,ob1,,
12,,,,,,,,,,,ob2,,o,o,o,o,o,o,o,
13,,o,o,o,o,o,o,o,o,o,o,o,,,,ob1,,,,
14,,ob2,,,,,,,,,,,,o,o,o,o,o,o,
15,,o,o,o,o,o,o,o,o,o,o,o,o,,,,,ob2,,
16,,,,,,,,,,,,,ob1,,o,o,o,o,o,
17,,o,o,o,o,o,o,o,o,o,o,o,o,o,,ob2,,,,
18,,ob2,,,,,,,,,,,,,,o,o,o,o,
19,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob1,,,,
20,,,,,,,,,,,,,,,,,,,,
