,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,,,,,,,,,,,,,,,,,,,
2,o,o,o,ob1,o,o,ob2,o,o,ob1,o,o,ob2,o,o,o,o,o,o,
3,o,,o,,,,,,,,,,,,,,,,o,
4,o,,o,,o,o,ob2,o,o,ob1,o,o,ob2,o,o,o,ob1,,ob1,
5,ob1,,ob1,,o,,,,,,,,,,,,o,,o,
6,o,,o,,ob1,,ob2,o,o,ob1,o,o,ob2,o,o,,o,,o,
7,o,,o,,o,,o,,,,,,,,o,,ob2,,ob2,
8,o,,o,,o,,ob2,,o,ob1,o,o,ob2,,ob1,,o,,o,
9,o,,ob2,,o,,o,,o,,,,o,,o,,o,,o,
10,ob1,,o,,ob1,,o,,o,,w,,o,,o,,ob2,,ob2,
11,o,,o,,o,,ob2,,o,,o,,ob2,,o,,o,,o,
12,o,,o,,o,,o,,o,ob1,o,,o,,o,,o,,o,
13,ob1,,ob2,,o,,o,,,,,,o,,o,,ob2,,ob2,
14,o,,o,,o,,ob2,o,o,ob1,o,o,ob2,,ob1,,o,,o,
15,ob2,,o,,o,,,,,,,,,,o,,o,,o,
16,o,,o,ob1,o,,o,o,o,ob1,o,o,o,,o,o,o,,o,
17,o,,,,,,o,,,,,,o,,,,,,ob1,
18,o,o,ob1,o,o,o,ob2,,o,ob1,o,,ob2,o,o,ob2,o,o,o,
19,,,,,,,,,o,,o,,,,,,,,,
20,o,o,o,o,o,oo,ob2,o,o,,o,o,ob2,o,o,o,o,o,o,o
