,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob1
2,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
3,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,ob1,ob1
4,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
5,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob1
6,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
7,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,ob1,ob1
8,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
9,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob1
10,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
11,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,ob1,ob1
12,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
13,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob1
14,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
15,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,ob1,ob1
16,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
17,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob1
18,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
19,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,ob1,ob1
20,w,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
