,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,o,ob1,o,o,o,o,ob2,o,o,o,o,ob1,o,o,o,o,o,ob2,o
2,,,,,,,,,,,,,,,,,,,,o
3,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob2
4,,ob1,,ob2,,ob2,,ob2,,ob2,,ob2,,ob2,,ob2,,ob2,,
5,,o,,h,,h,,h,,h,,h,,h,,h,,h,,
6,,ob2,,,,,,,,,,,,,,,,,,
7,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
8,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1,,ob1
9,,h,,h,,h,,h,,h,,h,,h,,h,,h,,h
10,,h,,,,,,,,ob2,,,,,,,,,,h
11,,h,o,,o,,o,,o,w,o,,o,,o,,o,,o,h
12,,h,,h,,h,,h,,ob2,,h,,h,,h,,h,,h
13,,ob2,,ob2,,ob2,,ob2,,h,,ob2,,ob2,,ob2,,ob2,,ob2
14,,o,o,o,o,o,o,o,o,ob1,o,o,o,o,o,o,o,o,o,o
15,,ob1,,,,,,,,,,,,,,,,,,
16,,ob1,ob1,ob2,ob2,h,h,h,h,h,h,h,h,h,h,h,h,h,h,
17,,,,,,,,,,,,,,,,,,,ob1,
18,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
19,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
20,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
