,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,,,,,,,,,,,,,,,,,,,
2,o,o,,,,,o,o,o,o,o,,,,,o,o,o,,o
3,,o,o,ob2,o,o,o,,,,ob1,o,o,o,,o,,o,ob2,o
4,,ob1,,,,,,o,o,o,,o,,o,,o, ,o,,o
5,,o,o,o,o,o,,o,,o,,o,,o,ob1,o,o,o,,o
6,,o,,o,,o,,ob2,,ob1,,o,o,o,, ,,o,,ob2
7,,ob2,,o,,o,,o,,o,o,o,,o,,o,,o,,o
8,,o,,o,,ob2,o,o,o,o,,,,o,,o,,o,,o
9,o,o, ,o, ,o,,o,, ,,o,,o,,o,, ,,o
10,,o,,o,o,o,,o,o,o,ob2,o,o,o,ob2,o,o, ,,ob2
11,,ob1,,, ,,,o,,o,,o,,, ,o,, ,,o
12,o,o,,,,,,,,,,o,,o,o,ob2,o,o,,o
13,,o,,,ob2,o,o,o,ob2,o,o,o,,o,,o,,o,,o
14,,o,,,o,,,o,,o,,o,,o,,o,,o,,o
15,,o,,,o,,,o,,o,,o,ob1,o,o,o,,o,o,o
16,o,ob2,,o,o,,,o,,o,,o,,o,,o, , ,, 
17,,o,,o,,,o,o,,o,o,o,,o,,o,,o,ob1,o
18,,o,,o,,,o,,,,,o,,o,o,ob1,o,ob1,,ob1
19,,o,o,o,ob2,o,o,,,o,,o,,,,,, ,,o
20,,,,,,,,,,o,o,o,ob2,o,ob2,o,ob2,o,ob2,w
