,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,ob2,ob2,ob2
2,,,,,,,,,,ob2, ,,,,,,,,,h
3,ob1,ob1,ob1,o,o,o,o,o,o,o,o,o,o,o,o,ob2,ob2,ob2,,h
4,h,,,,,,,,,ob1, ,,,,,,,h,,h
5,h,,ob1,ob1,ob1,o,o,o,o,o,o,o,o,ob2,ob2,ob2,,h,,h
6,h,,h,,,,,,,ob2, ,,,,,h,,h,,h
7,h,,h,,ob1,ob1,ob1,o,o,o,o,ob2,ob2,ob2,,h,,h,,h
8,h,,h,,h,,,,,, ,,,h,,h,,h,,h
9,h,,h,,h,,ob1,o,o,o,o,ob2,,h,,h,,h,,h
10,h,,h,,h,,h,,ob1,ob2,ob1,h,,h,,h,,h,,h
11,h,,h,,h,,h,,ob2,w,ob2,h,,h,,h,,h,,h
12,h,,h,,h,,h,,ob1,ob2,ob1,h,,h,,h,,h,,h
13,h,,h,,h,,h,,,, ,,,h,,h,,h,,h
14,h,,h,,h,,ob2,ob2,o,o,o,ob1,ob1,ob1,,h,,h,,h
15,h,,h,,h,,,,,ob1, ,,,,,h,,h,,h
16,h,,h,,ob2,ob2,ob2,o,o,o,o,o,o,ob1,ob1,ob1,,h,,h
17,h,,h,,,,,,,ob2, ,,,,,,,h,,h
18,h,,ob2,ob2,ob2,o,o,o,o,o,o,o,o,o,o,ob1,ob1,ob1,,h
19,h,,,,,,,,,ob1, ,,,,,,,,,h
20,ob2,ob2,ob2,o,o,o,o,o,o,b,o,o,o,o,o,o,ob1,ob1,ob1,h
